Group;Identifier;Icon;Name;;;;;;;;;;;;;;;;;;
061 Bathroom;comb.fill;􀦉;Comb;comb;hair;;;;;;;;;;;;;;;;
07 Time;alarm.fill;􀐮;Alarm;wake;morning;set;;;;;;;;;;;;;;;
07 Time;clock.fill;􀐬;Clock;time;;;;;;;;;;;;;;;;;
07 Time;stopwatch.fill;􀐰;Stopwatch;time;;;;;;;;;;;;;;;;;
07 Time;timer;􀐱;Timer;;;;;;;;;;;;;;;;;;
08 Work;printer.fill;􀎛;Printer;print;;;;;;;;;;;;;;;;;
08 Work;scanner.fill;􀪋;Scanner;;;;;;;;;;;;;;;;;;
08 Work;briefcase.fill;􀎝;Briefcase;Business;;;;;;;;;;;;;;;;;
08 Work;desktopcomputer;􀙗;Desktop;work;computer;pc;Mac;;;;;;;;;;;;;;
08 Work;chart.bar.fill;􀐿;Bar Chart;data;Analyse;chart;bar;;;;;;;;;;;;;;
08 Work;chart.pie.fill;􀜋;Pie Chart;Chart;pie;;;;;;;;;;;;;;;;
081 School;mdi.school;􀫔;School;homework;college;University;uni;study;exam;;;;;;;;;;;;
081 School;custom.language;􀮙;Translate;Language;;;;;;;;;;;;;;;;;
081 School;atom;􀬚;Physics;;;;;;;;;;;;;;;;;;
081 School;custom.chemistry;;Chemistry;;;;;;;;;;;;;;;;;;
081 School;chevron.left.slash.chevron.right;􀙚;Code;programming;coding;;;;;;;;;;;;;;;;
081 School;x.squareroot;􀓪;Math;solve;formular;homework;;;;;;;;;;;;;;;
09 Entertainment;play.rectangle.fill;􀊚;Movie;movie;YouTube;netflix;film;cinema;;;;;;;;;;;;;
09 Entertainment;tv.fill;􀒶;TV;watch;netflix;movie;show;;;;;;;;;;;;;;
09 Entertainment;film.fill;􀎷;Film;movie;;;;;;;;;;;;;;;;;
09 Entertainment;gamecontroller.fill;􀛹;Gaming;games;play;video;shooter;;;;;;;;;;;;;;
10 Transport;car.fill;􀙙;Car;drive;traffic;;;;;;;;;;;;;;;;
10 Transport;bolt.car.fill;􀝃;Electric Car;;;;;;;;;;;;;;;;;;
10 Transport;speedometer;􀍾;Speed;Fast;;;;;;;;;;;;;;;;;
10 Transport;tram.fill;􀝇;Train;ticket;;;;;;;;;;;;;;;;;
10 Transport;mdi.subway;􀜝;Subway;Metro;underground;;;;;;;;;;;;;;;;
10 Transport;mdi.bike;􀡥;Bike;ride;Bicycle ;;;;;;;;;;;;;;;;
10 Transport;mdi.bus;􀝈;Bus;couch;;;;;;;;;;;;;;;;;
10 Transport;mdi.ev.station;;EV Station;Tesla;charge;Ev;electric;;;;;;;;;;;;;;
10 Transport;mdi.gas.station;;Gas Station;gas;Station;car;refuel;Empty;petrol;;;;;;;;;;;;
10 Transport;mdi.wheelchair;;Wheelchair;Accesible;;;;;;;;;;;;;;;;;
10 Transport;airplane;􀑓;Airplane;Flight ;fly;plane;holiday;;;;;;;;;;;;;;
10 Transport;mdi.airplane.landing;;Landing;;;;;;;;;;;;;;;;;;
10 Transport;mdi.airplane.takeoff;;Takeoff;;;;;;;;;;;;;;;;;;
10 Transport;hare.fill;􀓏;Fast;Rabbit;;;;;;;;;;;;;;;;;
10 Transport;tortoise.fill;􀓑;Slow;;;;;;;;;;;;;;;;;;
11 Fun;mdi.alcohol;;Alcohol;drinks;beer;wine;cocktail;;;;;;;;;;;;;;
11 Fun;noun.party;;Party;Party;Club;Clubbing;Disco ;;;;;;;;;;;;;;
11 Fun;gift.fill;􀑊;Gift;present;birthday;wedding;;;;;;;;;;;;;;;
11 Fun;mdi.birthday;;Birthday;Congratule;Happy;present;Gift;;;;;;;;;;;;;;
11 Fun;mdi.relax;;Relaxation;Relax;treat;yogo;Mediation;;;;;;;;;;;;;;
11 Fun;mdi.ticket;􀪄;Ticket;Play;cinema;night;event;;;;;;;;;;;;;;
12 Weather;sun.max.fill;􀆮;Sun;weather;sun;Sunscreen;Warm;nice;light;bright;;;;;;;;;;;
12 Weather;sunrise.fill;􀆲;Sunrise;morning;wake;;;;;;;;;;;;;;;;
12 Weather;sunset.fill;􀆴;Sunset;bed;night;sleep;;;;;;;;;;;;;;;
12 Weather;moon.zzz.fill;􀆾;Sleep Moon;sleep;recharge;rest;nap;;;;;;;;;;;;;;
12 Weather;zzz;􀖃;Sleep;sleep;tiered;rest;;;;;;;;;;;;;;;
12 Weather;cloud.drizzle.fill;􀇅;Rain;jacket;windows;water;;;;;;;;;;;;;;;
12 Weather;cloud.fill;􀇃;Cloud;cloudy;;;;;;;;;;;;;;;;;
12 Weather;moon.fill;􀆺;Moon;night;Sky;;;;;;;;;;;;;;;;
12 Weather;cloud.fog.fill;􀇋;Fog;mist;;;;;;;;;;;;;;;;;
12 Weather;cloud.snow.fill;􀇥;Snow;skiing;winter;Snowman;freezing;;;;;;;;;;;;;;
12 Weather;cloud.bolt.fill;􀇓;Storm;thunderstorm;thunder;lightning;;;;;;;;;;;;;;;
