Symbol,Name,Code,Status,Category,File,Features,Alias,Source,Source Link
,Cooking Stove,,Requested,,,,,,
,Horse Riding,,Requested,,,,,,
,Cleaning Cloth,,Requested,,,,,,
,Windows,,Requested,,,,,,
,Cloths Hanger,,Requested,,,,,,
,Route / Road,,Requested,,,,,,
,Water Glass,,Requested,,,,,,
,Toilet Paper,,Requested,,,,,,
,Soap,,Requested,,,,,,
,Vacuum,,Requested,,,,,,
,Pencil,,Requested,,,,,,
,Face Mask,,Requested,,,,,,
,Dog,,Requested,,,,,,
,Tree,,Requested,,,,,,
