Symbol,Name,Code,Status,Category,File,Features,Alias,Source,Source Link,Deprecated
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/bubble.left.fill2x.png,Bubble,bubble.left.fill,Released,Computer,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/burn2x.png,Danger,burn,Released,Symbols,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/bus2x.png,Bus,bus,Released,Transport,,"Color, Hierarchical, Weights",,System,,mdi.bus
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/mdi.couch2x.png,Couch,mdi.couch,Released,Home,SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/mdi.couch.svg,Weights,,Unknown,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/wand.and.stars2x.png,Magic,wand.and.stars,Released,Home,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/lock.open.fill2x.png,Unlock,lock.open.fill,Released,Home,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/hourglass2x.png,Hourglass,hourglass,Released,Home,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/newspaper.fill2x.png,Newspaper,newspaper.fill,Released,Home,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/wrench.fill2x.png,Wrench,wrench.fill,Released,Home,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/photo.fill2x.png,Photo,photo.fill,Released,"Computer, Home",,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/hammer.fill2x.png,Hammer,hammer.fill,Released,Home,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/scissors2x.png,Scissors,scissors,Released,Home,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/flashlight.on.fill2x.png,Flashlight,flashlight.on.fill,Released,Home,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/trash.fill2x.png,Trash,trash.fill,Released,Home,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/gearshape.2.fill2x.png,Gears,gearshape.2.fill,Released,Home,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/key.fill2x.png,Key,key.fill,Released,Home,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/house.fill2x.png,House,house.fill,Released,Home,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/custom.washing_machine2x.png,Washing Machine,custom.washing_machine,Released,Home,SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/custom.washing_machine.svg,"Hierarchical, Weights",,Fiverr,https://www.fiverr.com/monkmonk,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/fuelpump.fill2x.png,Gas Station,fuelpump.fill,Released,Transport,,"Color, Hierarchical, Weights",,System,,mdi.gas.station
